Name,E471  (6.25%)
Chord(mm),100
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
100.000000,0.000000
99.699000,0.085000
98.831000,0.344000
97.463000,0.763000
95.649000,1.293000
93.407000,1.878000
90.737000,2.492000
87.660000,3.135000
84.217000,3.797000
80.453000,4.461000
76.414000,5.108000
72.144000,5.712000
67.681000,6.252000
63.065000,6.712000
58.334000,7.077000
53.527000,7.339000
48.681000,7.494000
43.840000,7.550000
39.052000,7.508000
34.368000,7.372000
29.833000,7.143000
25.493000,6.826000
21.391000,6.425000
17.566000,5.946000
14.054000,5.397000
10.888000,4.785000
8.095000,4.121000
5.695000,3.417000
3.707000,2.688000
2.141000,1.953000
1.002000,1.238000
0.292000,0.573000
0.001000,0.023000
0.239000,-0.342000
1.071000,-0.580000
2.439000,-0.732000
4.344000,-0.777000
6.777000,-0.722000
9.726000,-0.574000
13.171000,-0.347000
17.080000,-0.059000
21.417000,0.270000
26.132000,0.621000
31.171000,0.975000
36.472000,1.316000
41.971000,1.627000
47.597000,1.894000
53.279000,2.105000
58.940000,2.252000
64.507000,2.328000
69.902000,2.330000
75.054000,2.256000
79.889000,2.112000
84.341000,1.902000
88.346000,1.635000
91.844000,1.322000
94.783000,0.975000
97.096000,0.610000
98.730000,0.287000
99.687000,0.072000
100.000000,0.000000
,
Camber line,
X(mm),Y(mm)
0.292000,0.573000
1.002000,0.338869
2.141000,0.627056
3.707000,0.963024
5.695000,1.335270
8.095000,1.732573
10.888000,2.143784
14.054000,2.557528
17.566000,2.961934
21.391000,3.346514
25.493000,3.699715
29.833000,4.012001
34.368000,4.276327
39.052000,4.484957
43.840000,4.632850
48.681000,4.714127
53.527000,4.725220
58.334000,4.656632
63.065000,4.510157
67.681000,4.290588
72.144000,4.004899
76.414000,3.661748
80.453000,3.273198
84.217000,2.852425
87.660000,2.407867
90.737000,1.956527
93.407000,1.507730
95.649000,1.065671
97.463000,0.650227
98.831000,0.304155
99.699000,0.077120
100.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
100.000000,0.000000
